"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\index.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\pricing.ts", "TypeScript", 25, 0, 0, 4, 5, 34
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\reviews.ts", "TypeScript", 37, 0, 0, 3, 9, 49
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\services.ts", "TypeScript", 27, 0, 0, 2, 7, 36
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\why-us.ts", "TypeScript", 43, 0, 0, 4, 7, 54
"d:\Clients\salam hack\fintich\src\lib\utils\mongoose.ts", "TypeScript", 40, 0, 0, 0, 12, 52
"d:\Clients\salam hack\fintich\src\lib\utils\tailwind-merge.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"d:\Clients\salam hack\fintich\src\middleware.ts", "TypeScript", 21, 0, 0, 2, 7, 30
"d:\Clients\salam hack\fintich\src\types\next-auth.d.ts", "TypeScript", 23, 0, 0, 0, 4, 27
"Total", "-", 1813, 9488, 207, 217, 1169, 12894
